"Name","Location","Ads","Google Rating","Google Reviews","Facebook Rating","Facebook Likes","Index.cy Rating","Index.cy Reviews","Home.cy Rating","Home.cy Reviews","Total Reviews","Average Rating","Bazaraki URL","Facebook URL","Index.cy URL","Home.cy URL"
"G&P Lazarou Estate Agents LTD","Nicosia",,4.8,124,"","","","","","",124,4.8,,"","",""
"REInvest Real Estate","Nicosia",,4.8,23,"","","","","","",23,4.8,,"","",""
"REMAX Capital Real Estate Agency Nicosia","Nicosia",,4.6,20,"","","","","","",20,4.6,,"","",""
"CyprusProperties","Larnaca",,4.7,40,"","","","","","",40,4.7,,"","",""
"Cyprus Dream Homes","Larnaca",,4.8,37,"","","","","","",37,4.8,,"","",""
"Trilogy Limassol Seafront","Limassol",,4.5,98,"","","","","","",98,4.5,,"","",""
"Blue Sky Properties Limassol","Limassol",,4.7,26,"","","","","","",26,4.7,,"","",""
"KINNIS PROPERTY DEVELOPERS","Limassol",,4.9,17,"","","","","","",17,4.9,,"","",""
"DevelopersCyprus","Limassol",,5,8,"","","","","","",8,5,,"","",""
"PP Estates","Limassol",,5,28,"","","","","","",28,5,,"","",""
"NCH Real Estate Limassol","Limassol",,5,4,"","","","","","",4,5,,"","",""
"Aristo Developers","Paphos",,5,10,"",62124,"","","","",10,5,,"https://www.facebook.com/aristodevelopers/","",""
"Island blue Property Developer","Paphos",,4.3,25,"","","","","","",25,4.3,,"","",""
"Property Canvas","Paphos",,4.8,17,"","","","","","",17,4.8,,"","",""
